ticker,company_name,fiscal_year,report_period_end,total_assets,ppe_net,ppe_gross,accumulated_depreciation,servers_gross,servers_net,buildings_gross,buildings_net,construction_in_progress,intangible_assets_net,goodwill,revenue,net_income,operating_income,income_tax_expense,rd_expense,rd_capitalized,impairment_loss,depreciation,amortization,capex_ppe,finance_lease_payments,operating_cash_flow,server_useful_life,building_useful_life,land_gross,equipment_gross,equipment_net,servers_accumulated_depreciation,buildings_accumulated_depreciation,software_intangibles,patent_intangibles,cash_and_equivalents,total_liabilities,gross_profit,sg_and_a,diluted_eps,ppe_sales_proceeds,effective_tax_rate,employee_count,equipment_useful_life,software_amortization_years,goodwill_test_method,revenue_breakdown,revenue_geography,server_life_min_years,server_life_max_years,building_life_min_years,building_life_max_years,life_extended_current_period,life_extension_depreciation_reduction,server_depreciation_ratio,inventory_writedown,accelerated_dep_charges,restructuring_charges,depreciation_rate_ppe,depreciation_rate_total_assets,amortization_rate,intangible_ratio,goodwill_ratio,rd_intensity,capex_to_revenue,capex_to_ppe_net,asset_turnover,ppe_turnover,accumulated_depreciation_rate,net_ppe_rate,depreciation_coverage,capital_intensity,net_margin,cip_to_ppe,depreciation_growth_rate,revenue_growth_rate,capex_yoy_growth,D1,D2,D3,D4,D5,composite_score,risk_level
MSFT,Microsoft Corporation,2025,2025-06-30,619003,204966,298619,93653,132836,,,,,22604,119509,281724,101832,128528,21795,32488,,0,22000,6000,64551,,136162,6(由4变更),5-15,,,,,,,,,,,,,,,,2-6,3,,,,6,6,5,15,0,,,,,,0.1073,0.0355,0.0097,0.2296,0.1931,0.1153,0.2291,0.3149,0.4551,1.3745,0.3136,0.6864,0.216,0.3311,0.3615,,0.4474,0.1493,0.4513,5,4,3,5,5,4.4,高风险
MU,"Micron Technology, Inc.",2022,2022-09-01,66283,38549,81331,42782,,,,,1897,421,1228,30758,8687,9702,888,3116,,48,7030,85,12067,103,15181,,10-30,,,,,,,,,,13898,,,,,,5-7,3-5,,,,,,10,30,0,,,,,48,0.1824,0.1061,0.0013,0.0249,0.0185,0.1013,0.3923,0.313,0.464,0.7979,0.526,0.474,0.8093,0.5816,0.2824,0.0492,0.1468,,0.2031,4,3,4,5,4,4.0,高风险
MU,"Micron Technology, Inc.",2023,2023-08-31,64254,37928,87585,49657,,,,,2464,404,1150,15540,-5833,-5745,177,3114,,112,7670,86,7676,109,1559,,10-30,,,,,,,,,,-1416,,,,,,7,3-5,,,,,,10,30,0,,,1831,,171,0.2022,0.1194,0.0013,0.0242,0.0179,0.2004,0.494,0.2024,0.2419,0.4097,0.567,0.433,-1.3149,0.5903,-0.3754,0.065,0.091,-0.4948,-0.3639,4,3,5,5,4,4.2,高风险
MU,"Micron Technology, Inc.",2024,2024-08-29,69416,39749,96047,56298,,,20141,,3444,416,1150,25111,778,1304,451,3430,,0,7700,82,8386,155,8507,,10-30,,70813,,,,,,,,5613,,,,,,7,3-5,"qualitative assessment; no impairment indicators identified for any reporting unit (HTML L2758-2760, L3550-3551)",,,,,10,30,0,,,0,,1,0.1937,0.1109,0.0012,0.0226,0.0166,0.1366,0.334,0.211,0.3617,0.6317,0.5862,0.4138,9.8972,0.5726,0.031,0.0866,0.0039,0.6159,0.0925,4,3,4,5,4,4.0,高风险
NVDA,NVIDIA Corporation,2023,2023-01-29,41182,3807,6501,2694,,,,,382,1676,4372,26974,4368,4224,-187,7339,,0,844,699,1833,,5641,3,up to 30,218,4303,,,,,,,,,2440,,,,,3-5 (Note 10 table),,"we completed our annual qualitative impairment tests and concluded that goodwill was not impaired in any of these years (fiscal 2023, 2022, 2021; Note 6, L3476)",,,3,3,,,0,,,2172,,,0.2217,0.0205,0.017,0.1469,0.1062,0.2721,0.068,0.4815,0.655,7.0854,0.4144,0.5856,0.1932,0.0924,0.1619,0.1003,0.3813,,0.8781,3,4,3,2,2,2.85,中风险
NVDA,NVIDIA Corporation,2024,2024-01-28,,3914,7423,3509,,,,,,,,60922,29760,,,,,0,894,614,1069,,,4-5 (extended from 3 in February 2023),up to 30,,,,,,,,,,,,,,,,"3-7 (Equipment, compute hardware, and software)",,,,,4,5,,,1,,NA,774,,,0.2284,,,,,,0.0175,0.2731,,15.5652,0.4727,0.5273,0.03,,0.4885,,0.0592,1.2585,-0.4168,4,5,3,1,2,3.1,中高风险
NVDA,NVIDIA Corporation,2025,2025-01-26,111601,6283,10684,4401,,,,,529,807,5188,130497,72880,81453,11146,12914,,0,1300,593,3236,,64089,4-5 (extended from 3 in February 2023; remains in force in FY2025 with no new change disclosed),up to 30,511,7568,,,,,,,,,,,,,,"2-7 (Equipment, compute hardware, and software, Note 11 table, HTML L3905)",,,,,4,5,,,0,,,1600,,,0.2069,0.0116,0.0053,0.0537,0.0465,0.099,0.0248,0.515,1.1693,20.7699,0.4119,0.5881,0.0178,0.0563,0.5585,0.0842,0.4541,1.142,2.0271,4,4,4,2,3,3.45,中高风险
ORCL,Oracle Corporation,2023,2023-05-31,134384,17069,28674,11605,17258,,,,3846,9837,62261,49954,8503,13093,623,8623,,,2526,3582,8695,,17165,5(由4变更),1-40,,,,,,,,,,,,,,,,1-5,"1-10 (generally range from one to 10 years; substantially all acquired in business combinations, HTML L7448)",,,,5,5,1,40,1,434,,,,490,0.148,0.0188,0.0267,0.5365,0.4633,0.1726,0.1741,0.5094,0.3717,2.9266,0.4047,0.5953,0.2971,0.127,0.1702,0.2253,0.2809,,0.9275,4,5,3,4,4,4.0,高风险
ORCL,Oracle Corporation,2024,2024-05-31,140976,21536,34818,13282,20989,,,,5634,6890,62230,52961,10467,15353,1274,8915,,,3129,3010,6866,,18673,5(由4变更),1-40,,,,,,,,,,,,,,,,1-5,1-10 (substantially all acquired in business combinations),,,,5,5,1,40,0,,,,,404,0.1453,0.0222,0.0214,0.4903,0.4414,0.1683,0.1296,0.3188,0.3757,2.4592,0.3815,0.6185,0.2989,0.1528,0.1976,0.2616,0.2387,0.0602,-0.2104,4,4,3,3,4,3.6,中高风险
ORCL,Oracle Corporation,2025,2025-05-31,168361,43522,59554,16032,30345,,,,16510,4587,62207,57399,12443,17678,1717,9860,,,3867,2307,21215,27,20821,6(由5变更),1-40,,,,,,,,,,,,,,,,1-6,1-10 (substantially all acquired in business combinations),,,,6,6,1,40,1,733,,,,299,0.0889,0.023,0.0137,0.3967,0.3695,0.1718,0.3696,0.4875,0.3409,1.3189,0.2692,0.7308,0.3108,0.2585,0.2168,0.3793,0.2359,0.0838,2.0899,5,5,3,5,4,4.45,高风险
TSLA,"Tesla, Inc.",2022,2022-12-31,,23548,,,,,,,,,,81462,12587,13656,,3074,,,2440,,7158,,14724,3-10,15-30,,,,,,,,,,,,,,,,3-15(机器/设备/车辆/家具;tooling 4-7),3-5,,,,3,10,15,30,0,,,,,,0.1036,,,,,0.0377,0.0879,0.304,,3.4594,,,0.1939,,0.1545,,,,,4,3,2,3,4,3.2,中高风险
TSLA,"Tesla, Inc.",2023,2023-12-31,106618,29725,41782,12057,3799,,,,5791,178,253,96773,14974,8891,-5001,3969,,0,3330,,8898,464,13256,3-10,15-30,,,,,,,,,,,,,,,,3-15(机器/设备/车辆/家具;tooling 4-7),3-5,,,,3,10,15,30,0,,,,,,0.112,0.0312,,0.004,0.0024,0.041,0.0919,0.2993,0.9077,3.2556,0.2886,0.7114,0.3745,0.2788,0.1547,0.1948,0.3648,0.188,0.2431,4,3,2,3,4,3.2,中高风险
TSLA,"Tesla, Inc.",2024,2024-12-31,,38000,,,,,,,,,,97690,7153,8500,,4500,,,3300,,11340,,,3-10,15-30,,,,,,,,,,,,,,,,3-15(机器/设备/车辆/家具;tooling 4-7),3-5,,,,3,10,15,30,0,,,,,,0.0868,,,,,0.0461,0.1161,0.2984,,2.5708,,,0.3882,,0.0732,,-0.009,0.0095,0.2744,4,3,3,4,5,3.75,高风险
